Defect ID,Status,Summary,Severity,Detected on Date,Environment,Incident Type,Modified,Closing Date,Root Cause
1,Deferred,French is not enforced for the corresponding mandatory English field,2,14/9/2015,Development,Defect,17/12/2015 0:50,22/9/2015,Architecture Issue
2,Closed,Unable to use same product allocation category for the different effective dates,2,14/9/2015,Development,Defect,13/11/2015 10:41,13/11/2015,Requirement Issue - Change in Requirement
3,Closed,The rule 85 does not take into account effective date,2,14/9/2015,Development,Defect,13/11/2015 10:41,13/11/2015,Requirement Issue - Change in Requirement
4,Closed,I am able to save 2 same products (same plan code and effective date),1,14/9/2015,Development,Defect,7/10/2015 12:43,7/10/2015,Requirement Issue - Change in Requirement
5,Deferred,New eligibility button enabled when there is already one,4,14/9/2015,Development,Defect,21/9/2015 21:14,22/9/2015,Architecture Issue
6,Deferred,I can save incomplete plans,4,14/9/2015,Development,Defect,21/9/2015 21:12,22/9/2015,Architecture Issue
7,Closed,Tax screen has percentage field optional and does not reflect what back end stores,1,14/9/2015,Development,Defect,22/9/2015 15:08,22/9/2015,Design Issue
8,Deferred,Group idicator missing from the SF screen and model,3,14/9/2015,Development,Defect,22/9/2015 14:49,22/9/2015,Architecture Issue
9,Closed,Frequent and unexpected time-outs during sync process in SF,1,14/9/2015,Development,Defect,13/11/2015 10:41,13/11/2015,Environment Issue
10,Closed,System Information fields - clarification needed,4,14/9/2015,Development,Defect,12/12/2015 21:31,13/12/2015,Requirement Issue - Change in Requirement
11,Closed,Created and Modified date time for all TRIP objects,2,14/9/2015,Development,Defect,13/11/2015 10:41,13/11/2015,Coding Issue
12,Closed,Product Translation contains English as Language option,4,14/9/2015,Development,Defect,21/9/2015 21:15,22/9/2015,Coding Issue
13,Closed,Incorrect  values for  ActionInfo on complex objects,1,14/9/2015,Development,Defect,13/11/2015 10:42,13/11/2015,Design Issue
14,Open,Copyright on TRIP screens,4,14/9/2015,Development,Watch List,12/1/2016 12:34,,Coding Issue
15,Closed,Error on Account sync,3,14/9/2015,Development,Defect,22/9/2015 14:35,22/9/2015,Coding Issue
